id	Título	Autor	Editor	ISBN	página total	Etiquetas en uso	fecha inicio	fecha fin	Calificaciones de estrellas
101	El hijo de Neptuno / The Son of Neptune	Rick Riordan	National Geographic Books	9788415580713	100%	#Fiction #YoungAdult #Adventure #Thriller #GreekMythology #Mythology	20/2/2014 ~ 19/3/2014		3.5
102	La Marca de Atenea	Rick Riordan	MONTENA		100%	#Fantasy #Mythology #YoungAdult #Fiction #Adventure #GreekMythology #Thriller	1/7/2014 ~ 10/8/2014		3.5
103	La casa de Hades	Rick Riordan	MONTENA	9788490432181	100%	#Fantasy #Mythology #GreekMythology #Fiction #YoungAdult	28/11/2014 ~ 30/12/2014		3.5
104	La sangre del Olimpo	Rick Riordan	MONTENA	9788490436455	100%	#Adventure #YoungAdult #GreekMythology #Thriller #Mythology #Fiction	1/1/2015 ~ 4/2/2015		3.5
105	La espada del tiempo / The Sword of Summer	Rick Riordan	National Geographic Books	9788490434819	100%	#YoungAdult #GreekMythology #Mythology #Adventure #Fiction #Thriller	22/1/2016 ~ 6/2/2016		3.5
106	Las ventajas de ser invisible	Stephen Chbosky	Alfaguara Juvenil	9786071132413	100%	#YoungAdult #Romance	6/12/2016 ~ 24/12/2016		4.0
107	Correr o morir	James Dashner	VRYA	9789876126137	100%	#Thriller #YoungAdult #Fiction #Adventure	25/2/2017 ~ 25/2/2017		3.5
108	Prueba De Fuego(Turtleback School & Libr...	James Dashner	VRYA		100%	#YoungAdult #Dystopia #ScienceFiction #Fiction #Fantasy #Adventure #PostApocalyptic #Thriller	1/7/2017 ~ 22/7/2017		3.5
109	El Gran Desafío del Caballero de la Armadura Oxidada	Rabi Aharon Shlezinger	Obelisco	9788491119890	100%	#YoungAdult #Fiction	1/7/2018 ~ 18/7/2018		3.5
110	50 principios de la ciencia de datos	Matiias Liberty Vittert	Blume	9788418459511	100%	#tecnology #adults #bigdata	26/12/2022 ~ 2/8/2023		4.0
